Timestamp (ms),Wall Time,Test Master Time,Sequence Time,FPD-1,FPD-2,FPD-3,OPD-1,OPD-2,OPD-3,AP-1,PC-1,PC-2,VBAT,VCOMP,ICOMP,TC-1,TC-COMP
11769010,18:11:01.30,0,0,Main,-4.863542,500.821089,0.000000,0.604309,1399.516224,0.000000,101.675164,0.138389,1.213527,25.213174,1.878232,0.729578,34.189961,44.684687
11769060,18:11:01.30,0,0,Main,-2.589238,502.336628,0.000000,1.358806,1396.897168,0.000000,98.815521,-0.107737,1.433653,25.224279,1.882909,0.733718,34.189961,44.941329
11769063,18:11:01.30,0,0,Main,-3.726390,501.877374,0.000000,0.745777,1398.161540,0.000000,100.983315,0.253760,1.496546,25.220435,1.881186,0.732415,34.189961,44.941329
11769095,18:11:01.30,0,0,Main,-4.590625,502.152927,0.000000,2.066148,1397.845447,0.000000,100.844945,0.069166,0.906922,25.234102,1.878478,0.730575,34.195476,44.941329
11769130,18:11:01.30,0,0,Main,-2.589238,501.739598,0.000000,1.971836,1397.619666,0.000000,100.660452,0.153771,1.449376,25.228549,1.882662,0.732108,33.934393,44.941329
11769130,18:11:01.30,0,0,Main,-2.589238,501.739598,0.000000,1.971836,1397.619666,0.000000,100.660452,0.153771,1.449376,25.228549,1.882662,0.732108,33.934393,44.941329
11769132,18:11:01.30,0,0,Main,-2.589238,501.739598,0.000000,1.971836,1397.619666,0.000000,100.660452,0.153771,1.449376,25.228549,1.882662,0.732108,33.934393,44.941329
11769135,18:11:01.30,0,0,Main,-3.680904,501.969225,0.000000,0.604309,1398.613101,0.000000,100.983315,0.169154,1.284281,25.220435,1.881678,0.732645,33.934393,44.941329
11769139,18:11:01.30,0,0,Main,-3.680904,501.969225,0.000000,0.604309,1398.613101,0.000000,100.983315,0.169154,1.284281,25.220435,1.881678,0.732645,33.934393,44.941329
11769140,18:11:01.30,0,0,Main,-4.272223,501.142567,0.000000,0.698621,1400.012942,0.000000,101.352301,-0.000057,1.056294,25.211893,1.877494,0.730728,33.928774,44.941329
11769143,18:11:01.30,0,0,Main,-4.272223,501.142567,0.000000,0.698621,1400.012942,0.000000,101.352301,-0.000057,1.056294,25.211893,1.877494,0.730728,33.928774,44.941329
11769229,18:11:01.30,0,0,Main,-0.906252,502.520330,0.000000,1.453119,1396.129513,0.000000,100.291466,0.138389,1.331451,25.237518,1.885124,0.733488,34.195476,44.941329
11769230,18:11:01.30,0,0,Main,-3.180557,502.336628,0.000000,-0.668906,1397.800291,0.000000,100.429836,0.238377,1.433653,25.215737,1.881432,0.732338,34.195476,44.941329
11769231,18:11:01.30,0,0,Main,-3.180557,502.336628,0.000000,-0.668906,1397.800291,0.000000,100.429836,0.238377,1.433653,25.215737,1.881432,0.732338,34.195476,44.941329
