Timestamp (ms),Wall Time,Test Master Time,Sequence Time,FPD-1,FPD-2,FPD-3,OPD-1,OPD-2,OPD-3,AP-1,PC-1,PC-2,VBAT
3422559,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263113,2.278177,18.849494,0.041836,25.350576
3422584,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264634,1.317299,18.845257,0.039859,25.353118
3422656,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266612,1.637592,18.858815,0.041989,25.351423
3422658,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266612,1.637592,18.858815,0.041989,25.351423
3422661,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266612,1.637592,18.858815,0.041989,25.351423
3422662,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266612,1.637592,18.858815,0.041989,25.351423
3422665,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265851,1.454567,18.821531,0.043282,25.343797
3422668,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265851,1.454567,18.821531,0.043282,25.343797
3422716,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264558,1.454567,18.813057,0.042065,25.350576
3422758,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.261287,0.585201,18.843139,0.043510,25.341255
3422760,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264558,1.820616,18.774501,0.041076,25.336171
3422761,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264558,1.820616,18.774501,0.041076,25.336171
3422763,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264558,1.820616,18.774501,0.041076,25.336171
3422764,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264558,1.820616,18.774501,0.041076,25.336171
3422767,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263417,1.866372,18.868984,0.040011,25.338713
3422769,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263417,1.866372,18.868984,0.040011,25.338713
3422770,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263417,1.866372,18.868984,0.040011,25.338713
3422771,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263417,1.866372,18.868984,0.040011,25.338713
3422815,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264330,1.271543,18.766451,0.043053,25.330239
3422832,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266460,1.271543,18.902455,0.042217,25.343373
3422901,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.268590,1.088518,18.817717,0.040011,25.353966
3422901,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.268590,1.088518,18.817717,0.040011,25.353966
3422902,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.268590,1.088518,18.817717,0.040011,25.353966
3422903,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.268590,1.088518,18.817717,0.040011,25.353966
3422904,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.268590,1.088518,18.817717,0.040011,25.353966
3422905,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.268590,1.088518,18.817717,0.040011,25.353966
3422906,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263950,1.317299,18.893134,0.040467,25.346763
3422907,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263950,1.317299,18.893134,0.040467,25.346763
3422908,01:35:09.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263950,1.317299,18.893134,0.040467,25.346763
