Timestamp (ms),Wall Time,Test Master Time,Sequence Time,FPD-1,FPD-2,FPD-3,OPD-1,OPD-2,OPD-3,AP-1,PC-1,PC-2,VBAT,VCOMP,ICOMP,TC-1,TC-COMP
3749841,04:37:51.30,-4983,-4983,Main,-0.225468,-2.953126,0.000000,6.162713,215.567253,0.000000,30.968197,-0.000057,0.686796,25.326780,0.575949,0.139475,19.396966,28.068866
3749845,04:37:51.30,-4979,-4979,Main,0.141935,-2.043405,0.000000,5.455578,215.316981,0.000000,30.829827,0.161463,0.505978,25.312259,0.574964,0.138095,19.396966,28.068866
3749849,04:37:51.30,-4976,-4976,Main,0.141935,-2.043405,0.000000,5.455578,215.316981,0.000000,30.829827,0.161463,0.505978,25.312259,0.574964,0.138095,19.396966,28.068866
3749854,04:37:51.30,-4970,-4970,Main,-0.409170,-3.726390,0.000000,5.597005,215.867580,0.000000,30.599211,-0.084663,0.647488,25.324644,0.575949,0.138325,19.396966,28.068866
3749855,04:37:51.30,-4969,-4969,Main,-0.409170,-3.726390,0.000000,5.597005,215.867580,0.000000,30.599211,-0.084663,0.647488,25.324644,0.575949,0.138325,19.396966,28.068866
3749856,04:37:51.30,-4968,-4968,Main,0.371563,-3.271529,0.000000,5.219867,214.916545,0.000000,30.045732,0.322983,0.741828,25.337884,0.575210,0.138171,19.396966,28.068866
3749857,04:37:51.30,-4967,-4967,Main,0.371563,-3.271529,0.000000,5.219867,214.916545,0.000000,30.045732,0.322983,0.741828,25.337884,0.575210,0.138171,19.396966,28.068866
3749858,04:37:51.30,-4967,-4967,Main,0.371563,-3.271529,0.000000,5.219867,214.916545,0.000000,30.045732,0.322983,0.741828,25.337884,0.575210,0.138171,19.396966,28.068866
3749858,04:37:51.30,-4966,-4966,Main,0.371563,-3.271529,0.000000,5.219867,214.916545,0.000000,30.045732,0.322983,0.741828,25.337884,0.575210,0.138171,19.396966,28.068866
3749859,04:37:51.30,-4965,-4965,Main,0.371563,-3.271529,0.000000,5.219867,214.916545,0.000000,30.045732,0.322983,0.741828,25.337884,0.575210,0.138171,19.396966,28.068866
3749860,04:37:51.30,-4964,-4964,Main,0.371563,-3.271529,0.000000,5.219867,214.916545,0.000000,30.045732,0.322983,0.741828,25.337884,0.575210,0.138171,19.396966,28.068866
3749861,04:37:51.30,-4964,-4964,Main,0.371563,-3.271529,0.000000,5.219867,214.916545,0.000000,30.045732,0.322983,0.741828,25.337884,0.575210,0.138171,19.396966,28.068866
3749861,04:37:51.30,-4963,-4963,Main,0.371563,-3.271529,0.000000,5.219867,214.916545,0.000000,30.045732,0.322983,0.741828,25.337884,0.575210,0.138171,19.396966,28.068866
3749862,04:37:51.30,-4962,-4962,Main,0.371563,-3.271529,0.000000,5.219867,214.916545,0.000000,30.045732,0.322983,0.741828,25.337884,0.575210,0.138171,19.396966,28.068866
3749863,04:37:51.30,-4961,-4961,Main,0.233786,-2.907640,0.000000,6.351282,214.466054,0.000000,30.045732,-0.038514,0.678934,25.328061,0.574472,0.139245,19.396966,28.068866
3749863,04:37:51.30,-4961,-4961,Main,0.233786,-2.907640,0.000000,6.351282,214.466054,0.000000,30.045732,-0.038514,0.678934,25.328061,0.574472,0.139245,19.396966,28.068866
3749864,04:37:51.30,-4960,-4960,Main,0.233786,-2.907640,0.000000,6.351282,214.466054,0.000000,30.045732,-0.038514,0.678934,25.328061,0.574472,0.139245,19.396966,28.068866
3749865,04:37:51.30,-4959,-4959,Main,0.233786,-2.907640,0.000000,6.351282,214.466054,0.000000,30.045732,-0.038514,0.678934,25.328061,0.574472,0.139245,19.396966,28.068866
