Timestamp (ms),Wall Time,Test Master Time,Sequence Time,FPD-1,FPD-2,FPD-3,OPD-1,OPD-2,OPD-3,AP-1,PC-1,PC-2,VBAT,VCOMP,ICOMP,TC-1,TC-COMP
11682209,18:09:34.30,4743,9702,Main,-3.908334,501.372194,0.000000,-2.979555,1408.728078,0.000000,107.440572,0.161463,0.938369,25.230685,1.879463,0.730114,34.189961,47.009425
11682216,18:09:34.30,4743,9702,Main,-4.863542,501.418120,0.000000,-3.168179,1410.308543,0.000000,108.409161,0.138389,1.032709,25.225133,1.880201,0.730421,34.189961,47.009425
11682222,18:09:34.30,4743,9702,Main,-4.909028,500.867014,0.000000,-1.376247,1411.121353,0.000000,107.809558,0.130697,1.095602,25.216164,1.883401,0.729424,34.189961,47.009425
11682256,18:09:34.30,4743,9702,Main,-4.818056,500.591462,0.000000,-1.281935,1411.437446,0.000000,108.685900,0.130697,1.072017,25.218726,1.879955,0.730575,34.189961,47.009425
11682273,18:09:34.30,4743,9702,Main,-4.863542,500.132207,0.000000,-2.036433,1412.205101,0.000000,107.947928,0.246069,1.197803,25.216591,1.878724,0.729808,34.189961,47.009425
11682274,18:09:34.30,4743,9702,Main,-4.863542,500.132207,0.000000,-2.036433,1412.205101,0.000000,107.947928,0.246069,1.197803,25.216591,1.878724,0.729808,34.189961,47.009425
11682275,18:09:34.30,4743,9702,Main,-4.863542,500.132207,0.000000,-2.036433,1412.205101,0.000000,107.947928,0.246069,1.197803,25.216591,1.878724,0.729808,34.189961,47.009425
11682301,18:09:34.30,4743,9702,Main,-4.818056,499.764804,0.000000,-0.716062,1410.940729,0.000000,108.501407,0.176846,1.244973,25.207195,1.876509,0.729884,34.189961,47.009425
11682302,18:09:34.30,4743,9702,Main,-4.818056,499.764804,0.000000,-0.716062,1410.940729,0.000000,108.501407,0.176846,1.244973,25.207195,1.876509,0.729884,34.189961,47.009425
11682335,18:09:34.30,4743,9702,Main,-4.727083,502.198852,0.000000,0.462840,1409.495732,0.000000,107.901805,0.069166,1.024847,25.227695,1.880201,0.731035,34.450937,47.009425
11682336,18:09:34.30,4743,9702,Main,-4.909028,502.290703,0.000000,0.698621,1410.263387,0.000000,108.224668,0.215303,1.040570,25.222143,1.880201,0.732415,34.450937,47.009425
11682339,18:09:34.30,4743,9702,Main,-4.909028,502.290703,0.000000,0.698621,1410.263387,0.000000,108.224668,0.215303,1.040570,25.222143,1.880201,0.732415,34.450937,47.009425
11682342,18:09:34.30,4743,9702,Main,-4.909028,502.290703,0.000000,0.698621,1410.263387,0.000000,108.224668,0.215303,1.040570,25.222143,1.880201,0.732415,34.450937,47.009425
11682346,18:09:34.30,4743,9702,Main,-4.590625,502.612181,0.000000,0.604309,1409.856981,0.000000,107.763435,0.092240,0.954092,25.227268,1.882662,0.732338,34.450937,47.009425
11682349,18:09:34.30,4743,9702,Main,-4.590625,502.612181,0.000000,0.604309,1409.856981,0.000000,107.763435,0.092240,0.954092,25.227268,1.882662,0.732338,34.450937,47.009425
