Timestamp (ms),Wall Time,Test Master Time,Sequence Time,FPD-1,FPD-2,FPD-3,OPD-1,OPD-2,OPD-3,AP-1,PC-1,PC-2,VBAT
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264634,2.095153,18.869407,0.042597,25.360745
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264330,0.951250,18.873644,0.042217,25.364981
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264102,2.095153,18.872373,0.039554,25.364134
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264102,2.095153,18.872373,0.039554,25.364134
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264102,2.095153,18.872373,0.039554,25.364134
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264102,2.095153,18.872373,0.039554,25.364134
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264102,2.095153,18.872373,0.039554,25.364134
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265243,1.866372,18.841444,0.039022,25.364134
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265243,1.866372,18.841444,0.039022,25.364134
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265243,1.866372,18.841444,0.039022,25.364134
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265243,1.866372,18.841444,0.039022,25.364134
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265243,1.866372,18.841444,0.039022,25.364134
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.262657,2.186665,18.937198,0.042825,25.360745
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266840,1.683348,18.860934,0.038946,25.366253
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266840,1.683348,18.860934,0.038946,25.366253
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266840,1.683348,18.860934,0.038946,25.366253
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266688,1.774860,18.883389,0.041304,25.364981
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266688,1.774860,18.883389,0.041304,25.364981
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266688,1.774860,18.883389,0.041304,25.364981
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266688,1.774860,18.883389,0.041304,25.364981
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266688,1.774860,18.883389,0.041304,25.364981
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264254,1.774860,18.814328,0.042217,25.360745
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264254,1.774860,18.814328,0.042217,25.360745
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.260375,1.088518,18.937198,0.041380,25.361592
01:22:21.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.260375,1.088518,18.937198,0.041380,25.361592
