Timestamp (ms),Wall Time,Test Master Time,Sequence Time,FPD-1,FPD-2,FPD-3,OPD-1,OPD-2,OPD-3,AP-1,PC-1,PC-2,VBAT
1339559640000,01:33:55.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263113,0.859738,18.827886,0.041456,25.348881
1339579260000,01:33:55.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264254,0.722469,18.874492,0.041000,25.345492
1339599440000,01:33:55.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.267753,1.729104,18.871102,0.039554,25.355660
1339599640000,01:33:55.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.267753,1.729104,18.871102,0.039554,25.355660
1339601240000,01:33:55.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.267753,1.729104,18.871102,0.039554,25.355660
1339601640000,01:33:55.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.267753,1.729104,18.871102,0.039554,25.355660
1339601840000,01:33:55.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.267753,1.729104,18.871102,0.039554,25.355660
1339602640000,01:33:55.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264482,2.095153,18.893558,0.042673,25.351847
1339603440000,01:33:55.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264482,2.095153,18.893558,0.042673,25.351847
1339606240000,01:33:55.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266004,0.997006,18.834241,0.040924,25.354389
1339621840000,01:33:55.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.268362,2.095153,18.822378,0.040087,25.352695
1339638640000,01:33:55.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264026,1.042762,18.813057,0.039707,25.347187
1339638840000,01:33:55.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264026,1.042762,18.813057,0.039707,25.347187
1339639240000,01:33:55.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264026,1.042762,18.813057,0.039707,25.347187
1339639440000,01:33:55.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264026,1.042762,18.813057,0.039707,25.347187
1339639840000,01:33:55.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264026,1.042762,18.813057,0.039707,25.347187
1339640040000,01:33:55.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264026,1.042762,18.813057,0.039707,25.347187
1339640440000,01:33:55.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263189,1.774860,18.841444,0.039707,25.351423
1339641440000,01:33:55.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263189,1.774860,18.841444,0.039707,25.351423
