Timestamp (ms),Wall Time,Test Master Time,Sequence Time,FPD-1,FPD-2,FPD-3,OPD-1,OPD-2,OPD-3,AP-1,PC-1,PC-2,VBAT
57192682,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263874,1.729104,18.834241,0.041380,25.360745
57192702,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263874,1.729104,18.834241,0.041380,25.360745
57192732,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266384,1.500323,18.850341,0.040924,25.358626
57192762,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266384,1.500323,18.850341,0.040924,25.358626
57192912,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.267981,1.042762,18.846528,0.042445,25.359474
57192922,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.267981,1.042762,18.846528,0.042445,25.359474
57192942,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.267981,1.042762,18.846528,0.042445,25.359474
57192962,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265471,1.088518,18.781704,0.043282,25.354813
57192982,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265471,1.088518,18.781704,0.043282,25.354813
57193752,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264026,1.683348,18.934232,0.041608,25.360745
57194142,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265091,1.637592,18.826615,0.041380,25.365829
57195252,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.267069,1.546079,18.882118,0.040848,25.357355
57195272,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.267297,1.683348,18.859663,0.042901,25.357779
57195312,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.267297,1.683348,18.859663,0.042901,25.357779
57195332,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.267297,1.683348,18.859663,0.042901,25.357779
57195362,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.267297,1.683348,18.859663,0.042901,25.357779
