Timestamp (ms),Wall Time,Test Master Time,Sequence Time,FPD-1,FPD-2,FPD-3,OPD-1,OPD-2,OPD-3,AP-1,PC-1,PC-2,VBAT,VCOMP,ICOMP,TC-1,TC-COMP
11616851,18:08:28.30,0,0,Main,-3.453473,502.290703,0.000000,2.066148,1372.874099,0.000000,112.421885,0.230686,1.386483,25.222997,1.887339,0.734715,34.184393,50.884914
11616858,18:08:28.30,0,0,Main,-0.951739,505.229931,0.000000,2.726333,1370.616292,0.000000,110.715324,-0.207726,1.268558,25.244779,1.886354,0.736709,34.184393,50.884914
11616866,18:08:28.30,0,0,Main,-1.543058,504.403273,0.000000,2.018992,1371.474258,0.000000,110.623078,0.023017,0.977677,25.250331,1.888816,0.734025,34.184393,50.891108
11616917,18:08:29.30,0,0,Main,-4.226737,502.428479,0.000000,-0.103033,1372.783787,0.000000,112.191269,0.153771,0.969815,25.238372,1.884631,0.733182,34.709027,50.632845
11616936,18:08:29.30,0,0,Main,-2.953126,503.760317,0.000000,2.066148,1372.828943,0.000000,112.006776,0.153771,1.504408,25.220435,1.888077,0.733795,34.709027,50.632845
11616990,18:08:29.30,0,0,Main,-1.042711,504.862528,0.000000,1.453119,1370.345355,0.000000,110.484708,0.076857,1.142772,25.251612,1.890539,0.735328,34.184393,50.886981
11617016,18:08:29.30,0,0,Main,-4.499653,502.704032,0.000000,-2.177901,1374.409408,0.000000,113.067611,0.384514,1.244973,25.214028,1.881432,0.733258,34.184393,50.886981
11617016,18:08:29.30,0,0,Main,-4.499653,502.704032,0.000000,-2.177901,1374.409408,0.000000,113.067611,0.384514,1.244973,25.214028,1.881432,0.733258,34.184393,50.886981
11617017,18:08:29.30,0,0,Main,-4.499653,502.704032,0.000000,-2.177901,1374.409408,0.000000,113.067611,0.384514,1.244973,25.214028,1.881432,0.733258,34.184393,50.886981
11617021,18:08:29.30,0,0,Main,-3.862848,503.530690,0.000000,-0.480282,1373.551441,0.000000,112.606378,0.153771,1.449376,25.220435,1.884878,0.733718,34.184393,50.886981
11617026,18:08:29.30,0,0,Main,-2.179863,503.852168,0.000000,0.557153,1372.287069,0.000000,110.853694,0.007634,1.410068,25.230258,1.889554,0.735175,34.184393,50.886981
11617051,18:08:29.30,0,0,Main,-4.090278,502.704032,0.000000,3.339363,1372.467694,0.000000,111.822282,-0.015440,1.009124,25.235810,1.882662,0.733028,34.184393,50.628700
11617077,18:08:29.30,0,0,Main,-1.861460,503.898093,0.000000,0.745777,1371.158165,0.000000,110.576954,0.230686,1.449376,25.235810,1.891523,0.735558,34.187184,50.628700
11617080,18:08:29.30,0,0,Main,-1.861460,503.898093,0.000000,0.745777,1371.158165,0.000000,110.576954,0.230686,1.449376,25.235810,1.891523,0.735558,34.187184,50.628700
11617084,18:08:29.30,0,0,Main,-0.678822,504.724751,0.000000,0.792933,1370.616292,0.000000,110.346338,0.184537,1.213527,25.250331,1.893000,0.735712,34.187184,50.628700
11617085,18:08:29.30,0,0,Main,-0.678822,504.724751,0.000000,0.792933,1370.616292,0.000000,110.346338,0.184537,1.213527,25.250331,1.893000,0.735712,34.187184,50.628700
11617087,18:08:29.30,0,0,Main,-0.678822,504.724751,0.000000,0.792933,1370.616292,0.000000,110.346338,0.184537,1.213527,25.250331,1.893000,0.735712,34.187184,50.628700
11617113,18:08:29.30,0,0,Main,-4.272223,502.428479,0.000000,0.462840,1374.183627,0.000000,112.744748,0.407589,1.402206,25.209758,1.881432,0.733335,33.925945,50.628700
11617116,18:08:29.30,0,0,Main,-2.771182,503.852168,0.000000,0.934401,1372.648318,0.000000,111.361050,0.038400,1.425791,25.222997,1.886354,0.734792,33.925945,50.886981
11617119,18:08:29.30,0,0,Main,-2.771182,503.852168,0.000000,0.934401,1372.648318,0.000000,111.361050,0.038400,1.425791,25.222997,1.886354,0.734792,33.925945,50.886981
11617123,18:08:29.30,0,0,Main,-1.543058,503.989944,0.000000,0.887245,1371.158165,0.000000,111.176557,-0.023131,1.355036,25.243498,1.890293,0.735558,33.925945,50.886981
11617125,18:08:29.30,0,0,Main,-1.543058,503.989944,0.000000,0.887245,1371.158165,0.000000,111.176557,-0.023131,1.355036,25.243498,1.890293,0.735558,33.925945,50.886981
11617125,18:08:29.30,0,0,Main,-1.543058,503.989944,0.000000,0.887245,1371.158165,0.000000,111.176557,-0.023131,1.355036,25.243498,1.890293,0.735558,33.925945,50.886981
11617127,18:08:29.30,0,0,Main,-0.815280,505.367707,0.000000,0.981558,1370.300199,0.000000,110.623078,0.053783,1.197803,25.249904,1.889308,0.734792,33.925945,50.886981
11617154,18:08:29.30,0,0,Main,-4.545139,501.234418,0.000000,-0.857530,1375.222218,0.000000,113.252104,0.399897,1.260697,25.213174,1.879709,0.732721,33.928774,50.886981
11617155,18:08:29.30,0,0,Main,-4.545139,501.234418,0.000000,-0.857530,1375.222218,0.000000,113.252104,0.399897,1.260697,25.213174,1.879709,0.732721,33.928774,50.886981
11617157,18:08:29.30,0,0,Main,-4.545139,501.234418,0.000000,-0.857530,1375.222218,0.000000,113.252104,0.399897,1.260697,25.213174,1.879709,0.732721,33.928774,50.886981
11617161,18:08:29.30,0,0,Main,-3.908334,502.566256,0.000000,-0.338813,1375.041594,0.000000,112.790871,0.261451,1.386483,25.209758,1.884878,0.733028,33.928774,50.886981
11617164,18:08:29.30,0,0,Main,-3.908334,502.566256,0.000000,-0.338813,1375.041594,0.000000,112.790871,0.261451,1.386483,25.209758,1.884878,0.733028,33.928774,50.886981
11617188,18:08:29.30,0,0,Main,-0.769794,505.275857,0.000000,2.301928,1370.390511,0.000000,110.484708,-0.107737,1.119187,25.255029,1.890046,0.735405,34.189961,50.886981
11617232,18:08:29.30,0,0,Main,-3.680904,501.601821,0.000000,-0.244501,1373.280504,0.000000,112.421885,0.192229,1.425791,25.222143,1.883401,0.733258,34.189961,50.628700
11617236,18:08:29.30,0,0,Main,-3.680904,502.612181,0.000000,0.368528,1374.048159,0.000000,112.606378,0.407589,1.410068,25.211893,1.888570,0.734102,34.189961,50.628700
11617237,18:08:29.30,0,0,Main,-3.680904,502.612181,0.000000,0.368528,1374.048159,0.000000,112.606378,0.407589,1.410068,25.211893,1.888570,0.734102,34.189961,50.628700
11617239,18:08:29.30,0,0,Main,-3.680904,502.612181,0.000000,0.368528,1374.048159,0.000000,112.606378,0.407589,1.410068,25.211893,1.888570,0.734102,34.189961,50.628700
11617240,18:08:29.30,0,0,Main,-3.680904,502.612181,0.000000,0.368528,1374.048159,0.000000,112.606378,0.407589,1.410068,25.211893,1.888570,0.734102,34.189961,50.628700
11617246,18:08:29.30,0,0,Main,-3.362501,503.071435,0.000000,0.038436,1372.964411,0.000000,112.375762,0.099931,1.520131,25.223424,1.883893,0.734025,34.189961,50.628700
11617271,18:08:29.30,0,0,Main,-0.997225,505.321782,0.000000,0.981558,1371.113009,0.000000,110.254091,-0.176960,0.930507,25.252039,1.887093,0.733488,34.189961,50.628700
11617319,18:08:29.30,0,0,Main,-4.636111,502.290703,0.000000,-0.574594,1374.364252,0.000000,113.159857,0.230686,1.339313,25.214456,1.881432,0.732491,34.187184,50.628700
11617323,18:08:29.30,0,0,Main,-4.636111,502.290703,0.000000,-0.574594,1374.364252,0.000000,113.159857,0.230686,1.339313,25.214456,1.881432,0.732491,34.187184,50.628700
11617326,18:08:29.30,0,0,Main,-3.999306,503.438839,0.000000,0.651465,1373.867534,0.000000,112.560255,0.153771,1.402206,25.214456,1.883893,0.734178,34.187184,50.628700
11617327,18:08:29.30,0,0,Main,-3.999306,503.438839,0.000000,0.651465,1373.867534,0.000000,112.560255,0.153771,1.402206,25.214456,1.883893,0.734178,34.187184,50.628700
11617331,18:08:29.30,0,0,Main,-3.999306,503.438839,0.000000,0.651465,1373.867534,0.000000,112.560255,0.153771,1.402206,25.214456,1.883893,0.734178,34.187184,50.628700
11617359,18:08:29.30,0,0,Main,-1.042711,505.413633,0.000000,1.405962,1370.164730,0.000000,110.161845,0.030709,1.237112,25.250758,1.892015,0.734332,34.187184,50.886981
11617360,18:08:29.30,0,0,Main,-1.042711,505.413633,0.000000,1.405962,1370.164730,0.000000,110.161845,0.030709,1.237112,25.250758,1.892015,0.734332,34.187184,50.886981
11617362,18:08:29.30,0,0,Main,-1.042711,505.413633,0.000000,1.405962,1370.164730,0.000000,110.161845,0.030709,1.237112,25.250758,1.892015,0.734332,34.184393,50.886981
11617365,18:08:29.30,0,0,Main,-0.451392,505.275857,0.000000,1.217338,1370.390511,0.000000,110.392461,0.053783,1.103464,25.251612,1.892508,0.735405,34.184393,50.886981
11617367,18:08:29.30,0,0,Main,-0.451392,505.275857,0.000000,1.217338,1370.390511,0.000000,110.392461,0.053783,1.103464,25.251612,1.892508,0.735405,34.184393,50.886981
11617369,18:08:29.30,0,0,Main,-0.451392,505.275857,0.000000,1.217338,1370.390511,0.000000,110.392461,0.053783,1.103464,25.251612,1.892508,0.735405,34.184393,50.886981
11617395,18:08:29.30,0,0,Main,-2.543751,503.806243,0.000000,-0.103033,1371.203322,0.000000,111.222680,0.007634,0.883337,25.241789,1.887585,0.734255,34.184393,50.882845
11617434,18:08:29.30,0,0,Main,-0.678822,505.643260,0.000000,1.123026,1370.571136,0.000000,110.623078,-0.200034,1.213527,25.254175,1.890046,0.736172,34.184393,50.882845
11617460,18:08:29.30,0,0,Main,-4.954514,501.785523,0.000000,-0.998999,1373.912690,0.000000,113.159857,-0.076971,0.954092,25.230685,1.880940,0.732951,34.184393,50.886981
11617465,18:08:29.30,0,0,Main,-4.954514,501.785523,0.000000,-0.998999,1373.912690,0.000000,113.159857,-0.076971,0.954092,25.230685,1.880940,0.732951,34.184393,50.886981
11617468,18:08:29.30,0,0,Main,-4.818056,501.969225,0.000000,-0.338813,1374.635189,0.000000,113.390474,0.153771,1.111325,25.220435,1.882909,0.732185,34.184393,50.886981
11617470,18:08:29.30,0,0,Main,-4.818056,501.969225,0.000000,-0.338813,1374.635189,0.000000,113.390474,0.153771,1.111325,25.220435,1.882909,0.732185,34.445476,50.886981
11617498,18:08:29.30,0,0,Main,-3.362501,503.025510,0.000000,-0.385969,1372.738631,0.000000,111.407173,0.199920,1.465099,25.223851,1.884631,0.735098,34.445476,50.628700
11617499,18:08:29.30,0,0,Main,-3.362501,503.025510,0.000000,-0.385969,1372.738631,0.000000,111.407173,0.199920,1.465099,25.223851,1.884631,0.735098,34.445476,50.628700
11617503,18:08:29.30,0,0,Main,-3.362501,503.025510,0.000000,-0.385969,1372.738631,0.000000,111.407173,0.199920,1.465099,25.223851,1.884631,0.735098,34.445476,50.628700
11617505,18:08:29.30,0,0,Main,-2.134377,504.081795,0.000000,1.547431,1371.564571,0.000000,112.606378,0.246069,1.386483,25.234956,1.889062,0.735635,34.445476,50.628700
11617507,18:08:29.30,0,0,Main,-2.134377,504.081795,0.000000,1.547431,1371.564571,0.000000,112.606378,0.246069,1.386483,25.234956,1.889062,0.735635,34.445476,50.628700
11617512,18:08:29.30,0,0,Main,-1.543058,504.586975,0.000000,2.349084,1370.661448,0.000000,111.038187,-0.207726,1.300005,25.239227,1.887831,0.735022,34.450937,50.628700
11617536,18:08:29.30,0,0,Main,-3.407987,503.852168,0.000000,0.179904,1372.874099,0.000000,112.375762,-0.084663,0.922646,25.237091,1.887093,0.731955,34.450937,50.624547
11617585,18:08:29.30,0,0,Main,-2.225349,504.541050,0.000000,2.914958,1370.842072,0.000000,111.268803,-0.076971,1.048432,25.250331,1.882170,0.733335,34.187184,50.882845
